"","Station_ID","Station_Name","Go_live_date","Region","Status","LAT","LON","elevation"
"78",4147,"Fair Oaks & Mercantile Alley","7/14/2017","Pasadena","Active",34.145248,-118.15007,254.51
"79",4148,"Pasadena Central Library","7/14/2017","Pasadena","Active",34.14967,-118.145111,264.5
"80",4149,"Arroyo Parkway & Bellevue","7/14/2017","Pasadena","Active",34.13821,-118.147079,243.32
"81",4150,"Villa Parke","7/14/2017","Pasadena","Active",34.15427,-118.142151,270.05
"82",4151,"Los Robles & Cordova","7/14/2017","Pasadena","Active",34.142361,-118.14151,252.94
"83",4152,"Pasadena Museum","7/14/2017","Pasadena","Active",34.149712,-118.160172,270.14
"84",4153,"Rose Bowl","7/14/2017","Pasadena","Active",34.156181,-118.166687,242.91
"85",4154,"Fair Oaks & Peoria","7/14/2017","Pasadena","Active",34.15612,-118.151192,276.43
"86",4155,"Lake & Union","7/14/2017","Pasadena","Active",34.147812,-118.132217,252.48
"87",4156,"Madison & Walnut","7/14/2017","Pasadena","Active",34.14991,-118.13839,260.16
"88",4157,"Lake & Del Mar","7/14/2017","Pasadena","Active",34.140999,-118.132088,240.99
"89",4158,"Lake & California","7/14/2017","Pasadena","Active",34.13525,-118.13237,231.9
"90",4159,"Pasadena City College","7/14/2017","Pasadena","Active",34.145901,-118.116539,235.42
"91",4160,"Fillmore Station","7/14/2017","Pasadena","Active",34.133011,-118.14856,235.58
"92",4162,"Memorial Park Station","7/14/2017","Pasadena","Active",34.147499,-118.14801,258.82
"93",4163,"Lake & Locust","7/14/2017","Pasadena","Active",34.150471,-118.132019,257.56
"94",4165,"Del Mar Station","7/14/2017","Pasadena","Active",34.14175,-118.149063,249.77
"95",4166,"Colorado & Hill","7/14/2017","Pasadena","Active",34.145908,-118.12175,241.17
"96",4167,"Pasadena & Dayton","7/14/2017","Pasadena","Active",34.143822,-118.154099,253.2
"97",4169,"Oakland & Union","7/14/2017","Pasadena","Active",34.146961,-118.139839,258.22
"98",4170,"Lake & Merrett","7/14/2017","Pasadena","Active",34.160709,-118.132401,276.26
